1	11, 944
1	944, 1010
100	260
101	164, 826, 237, 918, 265
101	1709, 1669
102	746
103	249
106	174, 260
109	308, 289, 237
111	683, 698, 580, 395
115	227, 13, 644
115	657
116	1644, 1041, 1982, 1705, 1973, 1854, 1070, 1033, 1005, 1829
116	308, 833, 601, 594, 580, 561, 336, 88, 800
117	308, 657, 415
117	1790, 1625
118	918, 361
119	260
120	1329, 1160
121	1284
122	1069, 1995, 1994, 1973, 1607, 1898, 1988, 1528, 1576
122	626, 898, 382, 972, 369, 361
123	108
124	371
13	9, 25, 601, 564, 14
13	1104, 1053, 1005
133	403
134	387
135	72, 395
136	192, 871, 369, 371, 549, 514
136	2123, 1306
137	1705, 888, 1973, 2034, 1762, 1746, 1383
137	164, 899, 48, 879
1384652	800, 766
1384652	1644, 328, 888, 1542, 1417
139	403
142	746
143	482
144	17
145	683
146270	108
146637	146, 42, 249, 85
147	337, 698, 438
149	562, 580, 369
149	1401, 1189
150	766, 173, 871
151	514, 369
153	469, 871
153	1496
154	622, 337, 564, 123, 173, 683
156	263, 88, 535, 387
157	19, 561, 535, 769, 180
157	1711, 1908, 361
159	826
160	1607
161	502
162	717
163	371
164	899, 1070
17	1323, 1300, 1276
17	11, 36, 9, 108, 66, 129, 371, 8, 163
172	1644
173	1600, 1160
173	313, 705, 698, 237, 588
175	622, 650, 746, 761, 438, 371, 237, 173
183	514
183	1176
188	899, 2027, 2048, 1171, 1145
188	337
189	698, 773
19	13
192	752, 746
192	1292, 1994, 1451, 1610, 1189
193	2123
194	1329
195	1995
197	535, 698, 644, 264
198	800
198	2046, 1644, 1104, 1973, 1276
199	1644, 1313, 1576, 1496
199	227, 683
2	279
200	696, 972, 904, 888, 657, 328, 826, 805
200	1949, 1705, 1145, 1156, 2048, 2138, 1387, 1451
203	279, 918
204	899, 845, 696
205	651
205	1644, 728, 588
206	1033, 1131, 1329
206	717, 194, 36, 728, 905
207	698
207	918, 1625
2089740	1323, 1848, 1854, 1584, 1476, 1508, 1576
2089740	88
209	371
2090742	1069, 1145
212	9
214	761
214	761, 174
216	626
216	1306, 1854, 1607
2189331	1069, 947, 1040
2189331	705, 145, 609, 728
219	746
219	1762
22	6
224	1041, 1610
224	832
225	1600, 1401
227	1131, 1042, 944, 1040, 1994
227	279, 13, 746
229	769
23	25, 34
230	709
230	2046, 1683, 2101, 1607
231	1384, 1037, 835
232	1995
232	800
233	810, 944
234	810, 13, 888, 800, 871
234	1024, 1041, 1040, 1705, 36, 1033, 1576
242	1873
243	194, 930, 918
244	899, 123, 237
246	935
25	88
25	1292, 1576
257	336, 104, 264
258	1189
259	2046
26	246, 1873, 580, 1376
26	80, 126
263	1145
264	1237, 1108
266	2046, 1160, 1383
267	1304, 1323, 1313, 1171, 1145, 1131, 1329, 564, 1292
268	11, 1313, 1145, 1261, 1329, 88, 1083, 502
269	1176, 1306, 1542, 1983, 2041, 761, 1988, 1970, 1537, 2048, 1408, 1476, 918, 1982
27	1623, 1503
27	709
271	1576, 1584
274	698, 918
275	1623, 1160, 1709, 1261, 1180, 1873, 1836
281	899
29	1329
292	1104, 1790, 145
296	1451, 2138
298	1644, 2101
3	1623, 1042
30	1237, 1829, 1873
30	164
303	1898, 1705
304	898, 761
305	1476
307	580, 2056, 313, 1600, 1760, 1576
308	1644, 1760, 1300
312	1300
313	289, 1600, 1528, 650
314	1284
316	1669, 1311
318	833, 1576
328	1241, 1908
33	588, 104
332	11, 564, 1746, 1973
333	1457
34	1176, 1237, 1528, 1383
34	752, 709, 580, 879, 855, 34, 429, 415, 871, 265, 234, 237, 657, 104
341	888
342	330, 1908
35	1401, 1314, 1300, 1451, 835
35	61, 39, 134, 126, 369
357	1709
358	1760, 1535
36	104
363	1104
364	1936, 2056
369	1329, 1973
37	48
370	2027, 330
371	145, 1010
372	2101, 2138, 2056
377	1576, 2048
383	2123, 2048
389	1329
39	855, 1329, 1313, 1229
39	39, 48, 564, 192, 61, 4
40	879, 42, 126, 227, 176, 85
40	1131, 1376, 1453
41	1064
41	34
42	126, 104
43	24
44	145
45	59
45	1384
46	1241, 13, 1848, 2027, 1037
46	705
48	176, 249, 17
48	1284, 1261, 1790, 1576, 1180
49	19, 698, 289, 470, 260, 930
5	36
5	1644, 1973
50	1829, 1898
50	469, 336, 42, 180, 918, 176, 328
51	48, 705, 761, 36, 644, 395
51	1898, 1010, 1083
52	1625, 1615, 1973, 1584, 1576, 1898, 1669, 1598
52	429, 800
55	308, 904, 192, 123, 4, 227, 1005
55	1537, 1104, 1040, 1053
58	1408, 1576
58	746, 879, 564, 108, 328, 800
59	146, 337, 336, 330, 123, 328, 163, 85
59	1508, 1679, 1276
60	1408, 1457, 1180, 427
60	279, 833, 108, 16
61	90, 337, 237, 104
61	336, 1064
62	231
67	1598
70	588
70	146
71	146, 194, 180, 234, 129, 231
71	1576, 1584
72	1625
72	129, 13, 126
76	580
77	947, 1734, 1709
80	145, 173, 361
83	1329, 1542, 1505
86	1083
86	180, 123, 126, 265, 264
87	1836
9	108, 4
91	855, 9, 709, 109, 879, 898, 888, 871, 289, 415, 260, 650, 387, 810, 237, 231, 935
91	855, 1314, 1160, 2043, 2120, 898, 1709, 1261, 1329, 2138, 1537, 415, 1683, 1284, 1669, 1505, 279, 1390, 1528, 1705
92	1711, 1542, 1625, 766, 1537, 1576
93	930
93	845, 126
95	14
96	1535
96	192
