1	1016
1	1074
109	360
115	357
116	1775
116	1852
116	595
116	978
117	669
122	384
13	1109
13	602
136	396
136	515
136	519
137	1749
137	2036
1384652	1425
139	414
143	509
146270	111
146637	152
146637	154
150	516
154	566
154	623
156	607
157	539
157	541
157	794
162	799
164	1773
17	1338
17	162
192	1305
195	2001
197	665
199	1517
200	1157
200	704
200	890
200	894
205	725
206	942
207	1203
2089740	1856
2089740	1857
2089740	98
212	1404
214	762
216	1318
216	1666
216	723
2189331	1028
2189331	1073
2189331	734
219	1771
224	1546
224	1621
224	837
227	1044
227	1135
227	2012
229	781
231	1023
234	1056
246	938
258	1190
26	124
264	1130
264	1243
266	1393
267	1309
268	1154
268	1248
268	1272
27	1514
275	1667
275	1843
275	1886
296	1477
3	1061
30	699
303	1901
307	1793
308	1673
308	1821
313	1556
316	1367
328	1945
33	633
34	112
34	1186
34	266
34	586
34	713
34	755
34	858
35	127
35	1418
35	206
358	2047
364	1940
383	2080
39	1325
39	45
39	63
40	1456
40	77
41	1096
43	49
46	1039
46	1275
46	707
48	1232
48	2017
48	250
48	26
49	298
49	307
49	473
49	951
5	352
50	207
52	1628
52	432
55	1583
55	258
55	911
58	1421
59	1525
59	170
59	1704
59	332
59	339
59	342
60	1468
60	838
62	1812
71	197
77	1780
80	362
86	183
9	7
91	1319
91	1339
91	1394
91	1672
91	1724
91	2044
91	2147
91	655
91	738
91	820
91	875
91	885
92	1544
92	1577
92	1619
92	1627
93	849
