1	1016,1074
109	360
115	357
116	1775,1852,595,978
117	669
122	384
13	1109,602
136	396,515,519
137	1749,2036
1384652	1425
139	414
143	509
146270	111
146637	152,154
150	516
154	566,623
156	607
157	539,541,794
162	799
164	1773
17	1338,162
192	1305
195	2001
197	665
199	1517
200	1157,704,890,894
205	725
206	942
207	1203
2089740	1856,1857,98
212	1404
214	762
216	1318,1666,723
2189331	1028,1073,734
219	1771
224	1546,1621,837
227	1044,1135,2012
229	781
231	1023
234	1056
246	938
258	1190
26	124
264	1130,1243
266	1393
267	1309
268	1154,1248,1272
27	1514
275	1667,1843,1886
296	1477
3	1061
30	699
303	1901
307	1793
308	1673,1821
313	1556
316	1367
328	1945
33	633
34	112,1186,266,586,713,755,858
35	127,1418,206
358	2047
364	1940
383	2080
39	1325,45,63
40	1456,77
41	1096
43	49
46	1039,1275,707
48	1232,2017,250,26
49	298,307,473,951
5	352
50	207
52	1628,432
55	1583,258,911
58	1421
59	1525,170,1704,332,339,342
60	1468,838
62	1812
71	197
77	1780
80	362
86	183
9	7
91	1319,1339,1394,1672,1724,2044,2147,655,738,820,875,885
92	1544,1577,1619,1627
93	849
