1	1016
231	1023
2189331	1028
46	1039
227	1044
234	1056
3	1061
2189331	1073
1	1074
41	1096
13	1109
146270	111
34	112
264	1130
227	1135
268	1154
200	1157
34	1186
258	1190
207	1203
48	1232
26	124
264	1243
268	1248
35	127
268	1272
46	1275
192	1305
267	1309
216	1318
91	1319
39	1325
17	1338
91	1339
316	1367
266	1393
91	1394
212	1404
35	1418
58	1421
1384652	1425
40	1456
60	1468
296	1477
27	1514
199	1517
146637	152
59	1525
146637	154
92	1544
224	1546
313	1556
92	1577
55	1583
92	1619
17	162
224	1621
92	1627
52	1628
216	1666
275	1667
91	1672
308	1673
59	170
59	1704
91	1724
137	1749
219	1771
164	1773
116	1775
77	1780
307	1793
62	1812
308	1821
86	183
275	1843
116	1852
2089740	1856
2089740	1857
275	1886
303	1901
364	1940
328	1945
71	197
195	2001
227	2012
48	2017
137	2036
91	2044
358	2047
35	206
50	207
383	2080
91	2147
48	250
55	258
48	26
34	266
49	298
49	307
59	332
59	339
59	342
5	352
115	357
109	360
80	362
122	384
136	396
139	414
52	432
39	45
49	473
43	49
143	509
136	515
150	516
136	519
157	539
157	541
154	566
34	586
116	595
13	602
156	607
154	623
39	63
33	633
91	655
197	665
117	669
30	699
9	7
200	704
46	707
34	713
216	723
205	725
2189331	734
91	738
34	755
214	762
40	77
229	781
157	794
162	799
91	820
224	837
60	838
93	849
34	858
91	875
91	885
200	890
200	894
55	911
246	938
206	942
49	951
116	978
2089740	98
