1	11
13	9, 25, 14
146270	108
146637	42
17	11, 9, 108, 36, 66
19	13
2089740	88
23	25, 34
25	88
26	80, 126
34	104, 34
35	61, 39, 126
36	104
37	48
39	61, 39, 4, 48
40	42, 85
41	34
42	126
43	24
44	145
45	59
48	17
49	19
50	42
51	36
55	4
58	108
59	123, 85
60	108, 16
61	90, 104
71	146, 129
72	129, 13, 126
80	145
86	126
9	4
1	11
13	9, 25, 14
146270	108
146637	42
17	11, 9, 108, 36, 66
19	13
2089740	88
23	25, 34
25	88
26	80, 126
34	104, 34
35	61, 39, 126
36	104
37	48
39	61, 39, 4, 48
40	42, 85
41	34
42	126
43	24
44	145
45	59
48	17
49	19
50	42
51	36
55	4
58	108
59	123, 85
60	108, 16
61	90, 104
71	146, 129
72	129, 13, 126
80	145
86	126
9	4
